Brasil e Grande Região;Trimestre;Nível de instrução;Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Norte;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;120
Norte;1º trimestre 2023;Ensino fundamental completo ou equivalente;53
Norte;1º trimestre 2023;Ensino médio incompleto ou equivalente;88
Norte;1º trimestre 2023;Ensino médio completo ou equivalente;345
Norte;1º trimestre 2023;Ensino superior incompleto ou equivalente;58
Norte;1º trimestre 2023;Ensino superior completo ou equivalente;77
Norte;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;13
Norte;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;110
Norte;2º trimestre 2023;Ensino fundamental completo ou equivalente;44
Norte;2º trimestre 2023;Ensino médio incompleto ou equivalente;70
Norte;2º trimestre 2023;Ensino médio completo ou equivalente;314
Norte;2º trimestre 2023;Ensino superior incompleto ou equivalente;59
Norte;2º trimestre 2023;Ensino superior completo ou equivalente;66
Norte;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Norte;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;109
Norte;3º trimestre 2023;Ensino fundamental completo ou equivalente;46
Norte;3º trimestre 2023;Ensino médio incompleto ou equivalente;77
Norte;3º trimestre 2023;Ensino médio completo ou equivalente;291
Norte;3º trimestre 2023;Ensino superior incompleto ou equivalente;48
Norte;3º trimestre 2023;Ensino superior completo ou equivalente;67
Norte;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;11
Norte;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;123
Norte;4º trimestre 2023;Ensino fundamental completo ou equivalente;51
Norte;4º trimestre 2023;Ensino médio incompleto ou equivalente;83
Norte;4º trimestre 2023;Ensino médio completo ou equivalente;271
Norte;4º trimestre 2023;Ensino superior incompleto ou equivalente;45
Norte;4º trimestre 2023;Ensino superior completo ou equivalente;72
Norte;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Norte;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;112
Norte;1º trimestre 2024;Ensino fundamental completo ou equivalente;46
Norte;1º trimestre 2024;Ensino médio incompleto ou equivalente;83
Norte;1º trimestre 2024;Ensino médio completo ou equivalente;315
Norte;1º trimestre 2024;Ensino superior incompleto ou equivalente;54
Norte;1º trimestre 2024;Ensino superior completo ou equivalente;70
Norte;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;8
Norte;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;88
Norte;2º trimestre 2024;Ensino fundamental completo ou equivalente;44
Norte;2º trimestre 2024;Ensino médio incompleto ou equivalente;70
Norte;2º trimestre 2024;Ensino médio completo ou equivalente;261
Norte;2º trimestre 2024;Ensino superior incompleto ou equivalente;44
Norte;2º trimestre 2024;Ensino superior completo ou equivalente;74
Norte;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Norte;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;99
Norte;3º trimestre 2024;Ensino fundamental completo ou equivalente;33
Norte;3º trimestre 2024;Ensino médio incompleto ou equivalente;70
Norte;3º trimestre 2024;Ensino médio completo ou equivalente;246
Norte;3º trimestre 2024;Ensino superior incompleto ou equivalente;43
Norte;3º trimestre 2024;Ensino superior completo ou equivalente;70
Norte;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;13
Norte;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;101
Norte;4º trimestre 2024;Ensino fundamental completo ou equivalente;39
Norte;4º trimestre 2024;Ensino médio incompleto ou equivalente;71
Norte;4º trimestre 2024;Ensino médio completo ou equivalente;270
Norte;4º trimestre 2024;Ensino superior incompleto ou equivalente;39
Norte;4º trimestre 2024;Ensino superior completo ou equivalente;64
Norte;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;9
Norte;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;120
Norte;1º trimestre 2025;Ensino fundamental completo ou equivalente;49
Norte;1º trimestre 2025;Ensino médio incompleto ou equivalente;61
Norte;1º trimestre 2025;Ensino médio completo ou equivalente;335
Norte;1º trimestre 2025;Ensino superior incompleto ou equivalente;48
Norte;1º trimestre 2025;Ensino superior completo ou equivalente;87
Norte;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;4
Norte;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;82
Norte;2º trimestre 2025;Ensino fundamental completo ou equivalente;37
Norte;2º trimestre 2025;Ensino médio incompleto ou equivalente;64
Norte;2º trimestre 2025;Ensino médio completo ou equivalente;266
Norte;2º trimestre 2025;Ensino superior incompleto ou equivalente;43
Norte;2º trimestre 2025;Ensino superior completo ou equivalente;70
Nordeste;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;64
Nordeste;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;674
Nordeste;1º trimestre 2015;Ensino fundamental completo ou equivalente;236
Nordeste;1º trimestre 2015;Ensino médio incompleto ou equivalente;250
Nordeste;1º trimestre 2015;Ensino médio completo ou equivalente;870
Nordeste;1º trimestre 2015;Ensino superior incompleto ou equivalente;120
Nordeste;1º trimestre 2015;Ensino superior completo ou equivalente;147
Nordeste;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;91
Nordeste;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;760
Nordeste;2º trimestre 2015;Ensino fundamental completo ou equivalente;253
Nordeste;2º trimestre 2015;Ensino médio incompleto ou equivalente;267
Nordeste;2º trimestre 2015;Ensino médio completo ou equivalente;935
Nordeste;2º trimestre 2015;Ensino superior incompleto ou equivalente;123
Nordeste;2º trimestre 2015;Ensino superior completo ou equivalente;129
Nordeste;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;85
Nordeste;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;827
Nordeste;3º trimestre 2015;Ensino fundamental completo ou equivalente;254
Nordeste;3º trimestre 2015;Ensino médio incompleto ou equivalente;277
Nordeste;3º trimestre 2015;Ensino médio completo ou equivalente;979
Nordeste;3º trimestre 2015;Ensino superior incompleto ou equivalente;131
Nordeste;3º trimestre 2015;Ensino superior completo ou equivalente;165
Nordeste;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;92
Nordeste;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;745
Nordeste;4º trimestre 2015;Ensino fundamental completo ou equivalente;239
Nordeste;4º trimestre 2015;Ensino médio incompleto ou equivalente;266
Nordeste;4º trimestre 2015;Ensino médio completo ou equivalente;964
Nordeste;4º trimestre 2015;Ensino superior incompleto ou equivalente;143
Nordeste;4º trimestre 2015;Ensino superior completo ou equivalente;148
Nordeste;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;112
Nordeste;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;864
Nordeste;1º trimestre 2016;Ensino fundamental completo ou equivalente;279
Nordeste;1º trimestre 2016;Ensino médio incompleto ou equivalente;363
Nordeste;1º trimestre 2016;Ensino médio completo ou equivalente;1189
Nordeste;1º trimestre 2016;Ensino superior incompleto ou equivalente;172
Nordeste;1º trimestre 2016;Ensino superior completo ou equivalente;185
Nordeste;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;123
Nordeste;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;908
Nordeste;2º trimestre 2016;Ensino fundamental completo ou equivalente;313
Nordeste;2º trimestre 2016;Ensino médio incompleto ou equivalente;371
Nordeste;2º trimestre 2016;Ensino médio completo ou equivalente;1203
Nordeste;2º trimestre 2016;Ensino superior incompleto ou equivalente;170
Nordeste;2º trimestre 2016;Ensino superior completo ou equivalente;178
Nordeste;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;122
Nordeste;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;1030
Nordeste;3º trimestre 2016;Ensino fundamental completo ou equivalente;301
Nordeste;3º trimestre 2016;Ensino médio incompleto ou equivalente;408
Nordeste;3º trimestre 2016;Ensino médio completo ou equivalente;1237
Nordeste;3º trimestre 2016;Ensino superior incompleto ou equivalente;163
Nordeste;3º trimestre 2016;Ensino superior completo ou equivalente;174
Nordeste;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;131
Nordeste;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;1039
Nordeste;4º trimestre 2016;Ensino fundamental completo ou equivalente;310
Nordeste;4º trimestre 2016;Ensino médio incompleto ou equivalente;419
Nordeste;4º trimestre 2016;Ensino médio completo ou equivalente;1239
Nordeste;4º trimestre 2016;Ensino superior incompleto ou equivalente;179
Nordeste;4º trimestre 2016;Ensino superior completo ou equivalente;192
Nordeste;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;140
Nordeste;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;1105
Nordeste;1º trimestre 2017;Ensino fundamental completo ou equivalente;346
Nordeste;1º trimestre 2017;Ensino médio incompleto ou equivalente;449
Nordeste;1º trimestre 2017;Ensino médio completo ou equivalente;1466
Nordeste;1º trimestre 2017;Ensino superior incompleto ou equivalente;205
Nordeste;1º trimestre 2017;Ensino superior completo ou equivalente;246
Nordeste;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;146
Nordeste;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;1151
Nordeste;2º trimestre 2017;Ensino fundamental completo ou equivalente;340
Nordeste;2º trimestre 2017;Ensino médio incompleto ou equivalente;415
Nordeste;2º trimestre 2017;Ensino médio completo ou equivalente;1428
Nordeste;2º trimestre 2017;Ensino superior incompleto ou equivalente;179
Nordeste;2º trimestre 2017;Ensino superior completo ou equivalente;202
Nordeste;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;134
Nordeste;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;1044
Nordeste;3º trimestre 2017;Ensino fundamental completo ou equivalente;331
Nordeste;3º trimestre 2017;Ensino médio incompleto ou equivalente;390
Nordeste;3º trimestre 2017;Ensino médio completo ou equivalente;1356
Nordeste;3º trimestre 2017;Ensino superior incompleto ou equivalente;180
Nordeste;3º trimestre 2017;Ensino superior completo ou equivalente;194
Nordeste;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;130
Nordeste;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;981
Nordeste;4º trimestre 2017;Ensino fundamental completo ou equivalente;293
Nordeste;4º trimestre 2017;Ensino médio incompleto ou equivalente;390
Nordeste;4º trimestre 2017;Ensino médio completo ou equivalente;1232
Nordeste;4º trimestre 2017;Ensino superior incompleto ou equivalente;170
Nordeste;4º trimestre 2017;Ensino superior completo ou equivalente;208
Nordeste;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;132
Nordeste;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;1097
Nordeste;1º trimestre 2018;Ensino fundamental completo ou equivalente;317
Nordeste;1º trimestre 2018;Ensino médio incompleto ou equivalente;424
Nordeste;1º trimestre 2018;Ensino médio completo ou equivalente;1475
Nordeste;1º trimestre 2018;Ensino superior incompleto ou equivalente;211
Nordeste;1º trimestre 2018;Ensino superior completo ou equivalente;242
Nordeste;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;102
Nordeste;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;1021
Nordeste;2º trimestre 2018;Ensino fundamental completo ou equivalente;284
Nordeste;2º trimestre 2018;Ensino médio incompleto ou equivalente;385
Nordeste;2º trimestre 2018;Ensino médio completo ou equivalente;1378
Nordeste;2º trimestre 2018;Ensino superior incompleto ou equivalente;217
Nordeste;2º trimestre 2018;Ensino superior completo ou equivalente;225
Nordeste;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;117
Nordeste;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;1003
Nordeste;3º trimestre 2018;Ensino fundamental completo ou equivalente;287
Nordeste;3º trimestre 2018;Ensino médio incompleto ou equivalente;423
Nordeste;3º trimestre 2018;Ensino médio completo ou equivalente;1301
Nordeste;3º trimestre 2018;Ensino superior incompleto ou equivalente;222
Nordeste;3º trimestre 2018;Ensino superior completo ou equivalente;223
Nordeste;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;107
Nordeste;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;1018
Nordeste;4º trimestre 2018;Ensino fundamental completo ou equivalente;318
Nordeste;4º trimestre 2018;Ensino médio incompleto ou equivalente;413
Nordeste;4º trimestre 2018;Ensino médio completo ou equivalente;1281
Nordeste;4º trimestre 2018;Ensino superior incompleto ou equivalente;202
Nordeste;4º trimestre 2018;Ensino superior completo ou equivalente;232
Nordeste;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;113
Nordeste;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;999
Nordeste;1º trimestre 2019;Ensino fundamental completo ou equivalente;315
Nordeste;1º trimestre 2019;Ensino médio incompleto ou equivalente;422
Nordeste;1º trimestre 2019;Ensino médio completo ou equivalente;1473
Nordeste;1º trimestre 2019;Ensino superior incompleto ou equivalente;209
Nordeste;1º trimestre 2019;Ensino superior completo ou equivalente;257
Nordeste;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;108
Nordeste;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;980
Nordeste;2º trimestre 2019;Ensino fundamental completo ou equivalente;299
Nordeste;2º trimestre 2019;Ensino médio incompleto ou equivalente;414
Nordeste;2º trimestre 2019;Ensino médio completo ou equivalente;1377
Nordeste;2º trimestre 2019;Ensino superior incompleto ou equivalente;223
Nordeste;2º trimestre 2019;Ensino superior completo ou equivalente;242
Nordeste;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;98
Nordeste;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;1015
Nordeste;3º trimestre 2019;Ensino fundamental completo ou equivalente;322
Nordeste;3º trimestre 2019;Ensino médio incompleto ou equivalente;433
Nordeste;3º trimestre 2019;Ensino médio completo ou equivalente;1329
Nordeste;3º trimestre 2019;Ensino superior incompleto ou equivalente;180
Nordeste;3º trimestre 2019;Ensino superior completo ou equivalente;234
Nordeste;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;103
Nordeste;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;924
Nordeste;4º trimestre 2019;Ensino fundamental completo ou equivalente;265
Nordeste;4º trimestre 2019;Ensino médio incompleto ou equivalente;382
Nordeste;4º trimestre 2019;Ensino médio completo ou equivalente;1272
Nordeste;4º trimestre 2019;Ensino superior incompleto ou equivalente;205
Nordeste;4º trimestre 2019;Ensino superior completo ou equivalente;250
Nordeste;1º trimestre 2022;Sem instrução e menos de 1 ano de estudo;...
Nordeste;1º trimestre 2022;Ensino fundamental incompleto ou equivalente;...
Nordeste;1º trimestre 2022;Ensino fundamental completo ou equivalente;...
Nordeste;1º trimestre 2022;Ensino médio incompleto ou equivalente;...
Nordeste;1º trimestre 2022;Ensino médio completo ou equivalente;...
Nordeste;1º trimestre 2022;Ensino superior incompleto ou equivalente;...
Nordeste;1º trimestre 2022;Ensino superior completo ou equivalente;...
Nordeste;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;98
Nordeste;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;702
Nordeste;2º trimestre 2022;Ensino fundamental completo ou equivalente;228
Nordeste;2º trimestre 2022;Ensino médio incompleto ou equivalente;365
Nordeste;2º trimestre 2022;Ensino médio completo ou equivalente;1347
Nordeste;2º trimestre 2022;Ensino superior incompleto ou equivalente;167
Nordeste;2º trimestre 2022;Ensino superior completo ou equivalente;237
Nordeste;3º trimestre 2022;Sem instrução e menos de 1 ano de estudo;98
Nordeste;3º trimestre 2022;Ensino fundamental incompleto ou equivalente;696
Nordeste;3º trimestre 2022;Ensino fundamental completo ou equivalente;226
Nordeste;3º trimestre 2022;Ensino médio incompleto ou equivalente;380
Nordeste;3º trimestre 2022;Ensino médio completo ou equivalente;1205
Nordeste;3º trimestre 2022;Ensino superior incompleto ou equivalente;148
Nordeste;3º trimestre 2022;Ensino superior completo ou equivalente;222
Nordeste;4º trimestre 2022;Sem instrução e menos de 1 ano de estudo;86
Nordeste;4º trimestre 2022;Ensino fundamental incompleto ou equivalente;656
Nordeste;4º trimestre 2022;Ensino fundamental completo ou equivalente;225
Nordeste;4º trimestre 2022;Ensino médio incompleto ou equivalente;331
Nordeste;4º trimestre 2022;Ensino médio completo ou equivalente;1042
Nordeste;4º trimestre 2022;Ensino superior incompleto ou equivalente;143
Nordeste;4º trimestre 2022;Ensino superior completo ou equivalente;204
Nordeste;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;87
Nordeste;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;661
Nordeste;1º trimestre 2023;Ensino fundamental completo ou equivalente;215
Nordeste;1º trimestre 2023;Ensino médio incompleto ou equivalente;333
Nordeste;1º trimestre 2023;Ensino médio completo ou equivalente;1296
Nordeste;1º trimestre 2023;Ensino superior incompleto ou equivalente;163
Nordeste;1º trimestre 2023;Ensino superior completo ou equivalente;216
Nordeste;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;78
Nordeste;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;646
Nordeste;2º trimestre 2023;Ensino fundamental completo ou equivalente;225
Nordeste;2º trimestre 2023;Ensino médio incompleto ou equivalente;305
Nordeste;2º trimestre 2023;Ensino médio completo ou equivalente;1166
Nordeste;2º trimestre 2023;Ensino superior incompleto ou equivalente;127
Nordeste;2º trimestre 2023;Ensino superior completo ou equivalente;207
Nordeste;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;79
Nordeste;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;608
Nordeste;3º trimestre 2023;Ensino fundamental completo ou equivalente;225
Nordeste;3º trimestre 2023;Ensino médio incompleto ou equivalente;307
Nordeste;3º trimestre 2023;Ensino médio completo ou equivalente;1094
Nordeste;3º trimestre 2023;Ensino superior incompleto ou equivalente;160
Nordeste;3º trimestre 2023;Ensino superior completo ou equivalente;208
Nordeste;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;67
Nordeste;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;586
Nordeste;4º trimestre 2023;Ensino fundamental completo ou equivalente;201
Nordeste;4º trimestre 2023;Ensino médio incompleto ou equivalente;314
Nordeste;4º trimestre 2023;Ensino médio completo ou equivalente;1073
Nordeste;4º trimestre 2023;Ensino superior incompleto ou equivalente;141
Nordeste;4º trimestre 2023;Ensino superior completo ou equivalente;200
Nordeste;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;66
Nordeste;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;559
Nordeste;1º trimestre 2024;Ensino fundamental completo ou equivalente;194
Nordeste;1º trimestre 2024;Ensino médio incompleto ou equivalente;326
Nordeste;1º trimestre 2024;Ensino médio completo ou equivalente;1221
Nordeste;1º trimestre 2024;Ensino superior incompleto ou equivalente;146
Nordeste;1º trimestre 2024;Ensino superior completo ou equivalente;225
Nordeste;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;62
Nordeste;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;486
Nordeste;2º trimestre 2024;Ensino fundamental completo ou equivalente;172
Nordeste;2º trimestre 2024;Ensino médio incompleto ou equivalente;242
Nordeste;2º trimestre 2024;Ensino médio completo ou equivalente;1043
Nordeste;2º trimestre 2024;Ensino superior incompleto ou equivalente;118
Nordeste;2º trimestre 2024;Ensino superior completo ou equivalente;204
Nordeste;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;61
Nordeste;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;444
Nordeste;3º trimestre 2024;Ensino fundamental completo ou equivalente;149
Nordeste;3º trimestre 2024;Ensino médio incompleto ou equivalente;266
Nordeste;3º trimestre 2024;Ensino médio completo ou equivalente;924
Nordeste;3º trimestre 2024;Ensino superior incompleto ou equivalente;143
Nordeste;3º trimestre 2024;Ensino superior completo ou equivalente;192
Nordeste;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;60
Nordeste;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;485
Nordeste;4º trimestre 2024;Ensino fundamental completo ou equivalente;152
Nordeste;4º trimestre 2024;Ensino médio incompleto ou equivalente;240
Nordeste;4º trimestre 2024;Ensino médio completo ou equivalente;953
Nordeste;4º trimestre 2024;Ensino superior incompleto ou equivalente;112
Nordeste;4º trimestre 2024;Ensino superior completo ou equivalente;191
Nordeste;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;50
Nordeste;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;474
Nordeste;1º trimestre 2025;Ensino fundamental completo ou equivalente;166
Nordeste;1º trimestre 2025;Ensino médio incompleto ou equivalente;248
Nordeste;1º trimestre 2025;Ensino médio completo ou equivalente;1135
Nordeste;1º trimestre 2025;Ensino superior incompleto ou equivalente;148
Nordeste;1º trimestre 2025;Ensino superior completo ou equivalente;240
Nordeste;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;30
Nordeste;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;410
Nordeste;2º trimestre 2025;Ensino fundamental completo ou equivalente;147
Nordeste;2º trimestre 2025;Ensino médio incompleto ou equivalente;212
Nordeste;2º trimestre 2025;Ensino médio completo ou equivalente;967
Nordeste;2º trimestre 2025;Ensino superior incompleto ou equivalente;116
Nordeste;2º trimestre 2025;Ensino superior completo ou equivalente;189
Sudeste;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;27
Sudeste;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;650
Sudeste;1º trimestre 2015;Ensino fundamental completo ou equivalente;398
Sudeste;1º trimestre 2015;Ensino médio incompleto ou equivalente;419
Sudeste;1º trimestre 2015;Ensino médio completo ou equivalente;1438
Sudeste;1º trimestre 2015;Ensino superior incompleto ou equivalente;236
Sudeste;1º trimestre 2015;Ensino superior completo ou equivalente;390
Sudeste;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;29
Sudeste;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;718
Sudeste;2º trimestre 2015;Ensino fundamental completo ou equivalente;426
Sudeste;2º trimestre 2015;Ensino médio incompleto ou equivalente;431
Sudeste;2º trimestre 2015;Ensino médio completo ou equivalente;1502
Sudeste;2º trimestre 2015;Ensino superior incompleto ou equivalente;273
Sudeste;2º trimestre 2015;Ensino superior completo ou equivalente;357
Sudeste;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;30
Sudeste;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;827
Sudeste;3º trimestre 2015;Ensino fundamental completo ou equivalente;474
Sudeste;3º trimestre 2015;Ensino médio incompleto ou equivalente;492
Sudeste;3º trimestre 2015;Ensino médio completo ou equivalente;1559
Sudeste;3º trimestre 2015;Ensino superior incompleto ou equivalente;296
Sudeste;3º trimestre 2015;Ensino superior completo ou equivalente;419
Sudeste;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;46
Sudeste;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;889
Sudeste;4º trimestre 2015;Ensino fundamental completo ou equivalente;467
Sudeste;4º trimestre 2015;Ensino médio incompleto ou equivalente;546
Sudeste;4º trimestre 2015;Ensino médio completo ou equivalente;1672
Sudeste;4º trimestre 2015;Ensino superior incompleto ou equivalente;278
Sudeste;4º trimestre 2015;Ensino superior completo ou equivalente;454
Sudeste;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;65
Sudeste;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;914
Sudeste;1º trimestre 2016;Ensino fundamental completo ou equivalente;563
Sudeste;1º trimestre 2016;Ensino médio incompleto ou equivalente;638
Sudeste;1º trimestre 2016;Ensino médio completo ou equivalente;2097
Sudeste;1º trimestre 2016;Ensino superior incompleto ou equivalente;365
Sudeste;1º trimestre 2016;Ensino superior completo ou equivalente;570
Sudeste;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;63
Sudeste;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;1014
Sudeste;2º trimestre 2016;Ensino fundamental completo ou equivalente;602
Sudeste;2º trimestre 2016;Ensino médio incompleto ou equivalente;650
Sudeste;2º trimestre 2016;Ensino médio completo ou equivalente;2080
Sudeste;2º trimestre 2016;Ensino superior incompleto ou equivalente;378
Sudeste;2º trimestre 2016;Ensino superior completo ou equivalente;577
Sudeste;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;45
Sudeste;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;1040
Sudeste;3º trimestre 2016;Ensino fundamental completo ou equivalente;577
Sudeste;3º trimestre 2016;Ensino médio incompleto ou equivalente;728
Sudeste;3º trimestre 2016;Ensino médio completo ou equivalente;2257
Sudeste;3º trimestre 2016;Ensino superior incompleto ou equivalente;415
Sudeste;3º trimestre 2016;Ensino superior completo ou equivalente;563
Sudeste;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;51
Sudeste;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;1113
Sudeste;4º trimestre 2016;Ensino fundamental completo ou equivalente;610
Sudeste;4º trimestre 2016;Ensino médio incompleto ou equivalente;740
Sudeste;4º trimestre 2016;Ensino médio completo ou equivalente;2273
Sudeste;4º trimestre 2016;Ensino superior incompleto ou equivalente;355
Sudeste;4º trimestre 2016;Ensino superior completo ou equivalente;551
Sudeste;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;60
Sudeste;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;1156
Sudeste;1º trimestre 2017;Ensino fundamental completo ou equivalente;713
Sudeste;1º trimestre 2017;Ensino médio incompleto ou equivalente;840
Sudeste;1º trimestre 2017;Ensino médio completo ou equivalente;2703
Sudeste;1º trimestre 2017;Ensino superior incompleto ou equivalente;456
Sudeste;1º trimestre 2017;Ensino superior completo ou equivalente;659
Sudeste;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;57
Sudeste;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;1177
Sudeste;2º trimestre 2017;Ensino fundamental completo ou equivalente;684
Sudeste;2º trimestre 2017;Ensino médio incompleto ou equivalente;808
Sudeste;2º trimestre 2017;Ensino médio completo ou equivalente;2570
Sudeste;2º trimestre 2017;Ensino superior incompleto ou equivalente;438
Sudeste;2º trimestre 2017;Ensino superior completo ou equivalente;628
Sudeste;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;51
Sudeste;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;1200
Sudeste;3º trimestre 2017;Ensino fundamental completo ou equivalente;691
Sudeste;3º trimestre 2017;Ensino médio incompleto ou equivalente;811
Sudeste;3º trimestre 2017;Ensino médio completo ou equivalente;2452
Sudeste;3º trimestre 2017;Ensino superior incompleto ou equivalente;429
Sudeste;3º trimestre 2017;Ensino superior completo ou equivalente;590
Sudeste;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;45
Sudeste;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;1148
Sudeste;4º trimestre 2017;Ensino fundamental completo ou equivalente;637
Sudeste;4º trimestre 2017;Ensino médio incompleto ou equivalente;773
Sudeste;4º trimestre 2017;Ensino médio completo ou equivalente;2314
Sudeste;4º trimestre 2017;Ensino superior incompleto ou equivalente;394
Sudeste;4º trimestre 2017;Ensino superior completo ou equivalente;643
Sudeste;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;58
Sudeste;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;1224
Sudeste;1º trimestre 2018;Ensino fundamental completo ou equivalente;675
Sudeste;1º trimestre 2018;Ensino médio incompleto ou equivalente;832
Sudeste;1º trimestre 2018;Ensino médio completo ou equivalente;2628
Sudeste;1º trimestre 2018;Ensino superior incompleto ou equivalente;481
Sudeste;1º trimestre 2018;Ensino superior completo ou equivalente;633
